Query_Image,Query_Path,True_Identity,Predicted_Identity,Matched_Gallery_Image,Matched_Gallery_Path,Confidence_Score,Confidence_Percentage,Match_Status,Is_Correct
009_frontal_blurred.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\distortion\009_frontal_blurred.jpg,009_frontal,009_frontal,009_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\009_frontal.jpg,1.0,100.0,CORRECT,True
009_frontal_foggy.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\distortion\009_frontal_foggy.jpg,009_frontal,009_frontal,009_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\009_frontal.jpg,0.9977999925613403,99.78,CORRECT,True
009_frontal_lowlight.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\distortion\009_frontal_lowlight.jpg,009_frontal,009_frontal,009_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\009_frontal.jpg,0.9930999875068665,99.31,CORRECT,True
009_frontal_noisy.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\distortion\009_frontal_noisy.jpg,009_frontal,009_frontal,009_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\009_frontal.jpg,0.9994999766349792,99.95,CORRECT,True
009_frontal_rainy.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\distortion\009_frontal_rainy.jpg,009_frontal,009_frontal,009_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\009_frontal.jpg,0.9994999766349792,99.95,CORRECT,True
009_frontal_resized.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\distortion\009_frontal_resized.jpg,009_frontal,009_frontal,009_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\009_frontal.jpg,1.0,100.0,CORRECT,True
009_frontal_sunny.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\distortion\009_frontal_sunny.jpg,009_frontal,009_frontal,009_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\009_frontal\009_frontal.jpg,0.9991000294685364,99.91,CORRECT,True
017_frontal_blurred.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\017_frontal\distortion\017_frontal_blurred.jpg,017_frontal,017_frontal,017_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\017_frontal\017_frontal.jpg,0.9998999834060669,99.99,CORRECT,True
017_frontal_foggy.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\017_frontal\distortion\017_frontal_foggy.jpg,017_frontal,017_frontal,017_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\017_frontal\017_frontal.jpg,0.9891999959945679,98.92,CORRECT,True
017_frontal_lowlight.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\017_frontal\distortion\017_frontal_lowlight.jpg,017_frontal,017_frontal,017_frontal.jpg,C:\COMSYS\face_gender_robust\Comys_Hackathon5\Comys_Hackathon5\Task_B\val\017_frontal\017_frontal.jpg,0.9725000262260437,97.25,CORRECT,True
